"trust_fed_gov","gov_run_by_big_interests","gov_wastes_tax_money","household_income_cat","race_ethnicity_summary","education_attainment","party_id_7pt","ideology_7pt","congress_approval","age","gender","sex","marital_status","natl_econ_retrospective","elections_responsive","social_trust","trust_fed_gov_pos","gov_run_pos","gov_waste_pos","z_trust_fed_gov","z_gov_run","z_gov_waste","trust_index_z"
4,1,1,25,1,0,7,99,4,-1,2,2,-3,5,3,4,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
5,1,1,14,1,1,5,6,4,-1,2,2,-3,5,3,4,1,1,1,-1.51363835735582,-0.452252672667008,-0.658395278889745,-0.874762102970857
3,1,1,9,1,4,7,6,4,-1,2,2,-3,5,2,3,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
4,1,1,13,6,4,6,6,4,-1,1,1,-3,3,3,4,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
3,2,3,15,2,0,7,99,1,-1,1,1,-3,5,3,2,3,2,3,0.587342124528122,2.21072948681807,3.09356567625756,1.96387909586792
5,1,1,23,1,0,4,4,3,-1,1,1,-3,5,3,2,1,1,1,-1.51363835735582,-0.452252672667008,-0.658395278889745,-0.874762102970857
5,1,3,-9,1,0,5,99,4,-1,1,1,-3,5,1,3,1,1,3,-1.51363835735582,-0.452252672667008,3.09356567625756,0.375891548744911
4,1,1,1,2,2,1,99,3,-1,2,2,-3,4,3,5,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
3,1,1,15,1,4,7,99,4,-1,2,2,-3,5,2,4,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
3,1,1,-9,1,2,6,99,4,-1,2,2,-3,5,3,3,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
3,1,1,23,1,4,5,6,4,-1,1,1,-3,5,3,3,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
3,1,1,19,1,0,7,99,4,-1,2,2,-3,4,2,2,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
4,1,1,7,1,2,3,4,3,-1,2,2,-3,4,3,3,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
2,NA,NA,-1,1,-1,1,2,-1,-1,-1,2,-3,4,-1,2,4,NA,NA,1.63783236547009,NA,NA,1.63783236547009
4,NA,NA,-1,1,-1,5,5,-1,-1,-1,2,-3,4,-1,2,2,NA,NA,-0.463148116413848,NA,NA,-0.463148116413848
4,2,1,27,1,0,5,6,3,-1,1,1,-3,5,2,3,2,2,1,-0.463148116413848,2.21072948681807,-0.658395278889745,0.363062030504826
4,1,1,-9,1,0,3,99,3,-1,2,2,-3,5,3,3,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
2,1,1,26,1,0,6,4,2,-1,1,1,-3,1,2,2,4,1,1,1.63783236547009,-0.452252672667008,-0.658395278889745,0.175728137971113
3,1,1,11,1,0,7,6,3,-1,1,1,-3,4,1,2,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
5,1,1,17,1,0,7,6,3,-1,2,2,-3,5,2,4,1,1,1,-1.51363835735582,-0.452252672667008,-0.658395278889745,-0.874762102970857
4,2,1,1,1,0,4,99,4,-1,2,2,-3,3,2,3,2,2,1,-0.463148116413848,2.21072948681807,-0.658395278889745,0.363062030504826
4,1,1,27,1,0,7,7,3,-1,2,2,-3,5,3,2,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
5,NA,NA,-1,1,-1,7,1,-1,-1,-1,1,-3,5,-1,2,1,NA,NA,-1.51363835735582,NA,NA,-1.51363835735582
5,NA,NA,-1,1,-1,7,6,-1,-1,-1,2,-3,5,-1,3,1,NA,NA,-1.51363835735582,NA,NA,-1.51363835735582
4,1,1,1,1,0,7,4,3,-1,2,2,-3,3,1,2,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
4,1,1,19,1,4,7,6,2,-1,1,1,-3,5,1,2,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
3,1,1,18,1,2,7,6,2,-1,1,1,-3,5,1,2,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
3,1,1,10,1,0,3,4,3,-1,1,2,-3,5,2,3,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
4,1,1,23,1,0,2,99,3,-1,2,2,-3,4,2,4,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
3,2,2,28,1,0,6,5,2,-1,1,1,-3,3,1,2,3,2,2,0.587342124528122,2.21072948681807,1.21758519868391,1.33855227001003
4,1,1,23,1,0,6,99,4,-1,2,2,-3,5,2,4,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
5,1,1,17,1,0,7,7,4,-1,2,2,-3,5,2,4,1,1,1,-1.51363835735582,-0.452252672667008,-0.658395278889745,-0.874762102970857
2,2,2,26,4,4,2,3,4,-1,1,1,-3,3,1,2,4,2,2,1.63783236547009,2.21072948681807,1.21758519868391,1.68871568365736
2,2,2,22,1,4,1,2,4,-1,2,2,-3,2,1,2,4,2,2,1.63783236547009,2.21072948681807,1.21758519868391,1.68871568365736
4,1,2,20,1,0,4,4,2,-1,2,2,-3,4,3,4,2,1,2,-0.463148116413848,-0.452252672667008,1.21758519868391,0.100728136534351
5,1,1,23,1,0,4,4,4,-1,1,1,-3,5,3,4,1,1,1,-1.51363835735582,-0.452252672667008,-0.658395278889745,-0.874762102970857
2,1,1,13,6,0,3,5,1,-1,1,1,-3,1,3,2,4,1,1,1.63783236547009,-0.452252672667008,-0.658395278889745,0.175728137971113
4,2,1,21,1,4,5,5,4,-1,1,1,-3,4,2,2,2,2,1,-0.463148116413848,2.21072948681807,-0.658395278889745,0.363062030504826
3,1,1,24,1,2,2,4,4,-1,1,1,-3,2,1,2,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
3,1,1,27,1,4,2,4,2,-1,2,2,-3,4,2,2,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
2,2,2,3,1,0,3,3,4,-1,1,1,-3,2,1,2,4,2,2,1.63783236547009,2.21072948681807,1.21758519868391,1.68871568365736
3,NA,NA,-1,1,-1,4,4,-1,-1,-1,2,-3,2,-1,2,3,NA,NA,0.587342124528122,NA,NA,0.587342124528122
4,1,1,13,1,0,7,99,3,-1,2,2,-3,3,2,2,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
4,1,1,28,1,0,7,6,4,-1,1,1,-3,5,3,4,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
4,1,1,7,2,0,1,99,4,-1,1,1,-3,2,1,4,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
5,1,1,-9,1,4,2,4,4,-1,2,2,-3,3,3,3,1,1,1,-1.51363835735582,-0.452252672667008,-0.658395278889745,-0.874762102970857
3,NA,NA,-1,1,-1,2,-9,-1,-1,-1,2,-3,3,-1,2,3,NA,NA,0.587342124528122,NA,NA,0.587342124528122
3,1,1,-9,1,3,3,4,4,-1,2,2,-3,2,2,3,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
3,NA,2,26,1,0,6,5,4,-1,1,1,-3,2,2,2,3,NA,2,0.587342124528122,NA,1.21758519868391,0.902463661606015
4,1,1,-9,1,0,7,4,4,-1,2,2,-3,5,2,2,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
5,1,1,28,1,1,7,6,4,-1,1,1,-3,5,2,3,1,1,1,-1.51363835735582,-0.452252672667008,-0.658395278889745,-0.874762102970857
3,1,1,13,1,2,7,6,4,-1,1,1,-3,5,2,3,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
3,1,2,27,1,0,7,6,1,-1,2,2,-3,3,2,3,3,1,2,0.587342124528122,-0.452252672667008,1.21758519868391,0.450891550181674
4,1,1,14,1,2,7,6,4,-1,1,1,-3,5,1,3,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
5,1,1,5,1,0,7,6,4,-1,1,1,-3,5,3,3,1,1,1,-1.51363835735582,-0.452252672667008,-0.658395278889745,-0.874762102970857
4,2,2,-9,1,3,4,3,2,-1,2,2,-3,1,1,3,2,2,2,-0.463148116413848,2.21072948681807,1.21758519868391,0.988388856362711
5,2,1,1,6,4,1,99,4,-1,2,2,-3,4,2,3,1,2,1,-1.51363835735582,2.21072948681807,-0.658395278889745,0.0128986168575032
1,2,3,1,2,0,1,1,1,-1,2,2,-3,5,1,5,5,2,3,2.68832260641206,2.21072948681807,3.09356567625756,2.66420592316257
4,1,1,27,6,2,1,2,4,-1,2,2,-3,3,2,4,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
5,1,1,23,1,4,2,4,4,-1,1,1,-3,5,1,2,1,1,1,-1.51363835735582,-0.452252672667008,-0.658395278889745,-0.874762102970857
3,1,2,19,1,0,1,1,3,-1,1,1,-3,3,2,3,3,1,2,0.587342124528122,-0.452252672667008,1.21758519868391,0.450891550181674
3,1,2,24,1,2,2,4,4,-1,1,1,-3,3,2,4,3,1,2,0.587342124528122,-0.452252672667008,1.21758519868391,0.450891550181674
4,2,2,20,2,4,2,4,2,-1,2,1,-3,4,2,4,2,2,2,-0.463148116413848,2.21072948681807,1.21758519868391,0.988388856362711
2,1,1,1,2,4,1,1,1,-1,2,2,-3,1,3,2,4,1,1,1.63783236547009,-0.452252672667008,-0.658395278889745,0.175728137971113
3,2,2,20,1,0,1,2,3,-1,1,1,-3,2,1,3,3,2,2,0.587342124528122,2.21072948681807,1.21758519868391,1.33855227001003
4,1,2,19,1,0,5,4,1,-1,1,1,-3,5,1,3,2,1,2,-0.463148116413848,-0.452252672667008,1.21758519868391,0.100728136534351
3,2,1,21,1,4,2,5,3,-1,1,1,-3,3,2,3,3,2,1,0.587342124528122,2.21072948681807,-0.658395278889745,0.71322544415215
5,1,1,13,2,0,4,99,3,-1,1,1,-3,3,2,4,1,1,1,-1.51363835735582,-0.452252672667008,-0.658395278889745,-0.874762102970857
5,2,3,6,4,4,3,99,3,-1,1,1,-3,3,3,5,1,2,3,-1.51363835735582,2.21072948681807,3.09356567625756,1.26355226857327
3,1,2,27,4,4,1,1,3,-1,2,2,-3,2,2,2,3,1,2,0.587342124528122,-0.452252672667008,1.21758519868391,0.450891550181674
3,2,2,15,2,0,1,6,3,-1,2,2,-3,4,2,3,3,2,2,0.587342124528122,2.21072948681807,1.21758519868391,1.33855227001003
4,1,1,27,1,2,5,5,2,-1,1,1,-3,5,2,3,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
5,1,1,-9,1,0,4,99,4,-1,1,1,-3,5,3,4,1,1,1,-1.51363835735582,-0.452252672667008,-0.658395278889745,-0.874762102970857
3,2,2,11,2,0,1,99,4,-1,1,1,-3,3,3,3,3,2,2,0.587342124528122,2.21072948681807,1.21758519868391,1.33855227001003
4,1,1,19,1,0,7,99,3,-1,2,2,-3,5,3,3,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
NA,NA,NA,-9,-4,-9,1,99,1,-1,-9,-9,-3,1,1,2,NA,NA,NA,NA,NA,NA,NA
2,1,2,24,1,1,1,1,3,-1,2,2,-3,3,2,3,4,1,2,1.63783236547009,-0.452252672667008,1.21758519868391,0.801054963828997
3,2,2,11,1,0,3,99,4,-1,2,2,-3,1,1,2,3,2,2,0.587342124528122,2.21072948681807,1.21758519868391,1.33855227001003
2,NA,NA,-1,1,-1,1,2,-1,-1,-1,1,-3,2,-1,2,4,NA,NA,1.63783236547009,NA,NA,1.63783236547009
2,1,1,13,3,4,3,4,4,-1,1,1,-3,3,2,3,4,1,1,1.63783236547009,-0.452252672667008,-0.658395278889745,0.175728137971113
3,2,2,23,1,4,1,4,4,-1,1,1,-3,1,1,2,3,2,2,0.587342124528122,2.21072948681807,1.21758519868391,1.33855227001003
4,NA,1,3,1,0,1,4,4,-1,2,2,-3,1,2,4,2,NA,1,-0.463148116413848,NA,-0.658395278889745,-0.560771697651796
4,1,2,5,1,4,1,4,1,-1,2,2,-3,2,1,2,2,1,2,-0.463148116413848,-0.452252672667008,1.21758519868391,0.100728136534351
4,NA,NA,-1,-9,-1,6,6,-1,-1,-1,1,-3,4,-1,2,2,NA,NA,-0.463148116413848,NA,NA,-0.463148116413848
5,1,1,20,2,0,3,2,3,-1,1,1,-3,1,2,2,1,1,1,-1.51363835735582,-0.452252672667008,-0.658395278889745,-0.874762102970857
3,1,1,20,3,4,3,3,4,-1,1,1,-3,5,1,2,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
4,NA,NA,-1,2,-1,2,-9,-1,-1,-1,2,-3,2,-1,3,2,NA,NA,-0.463148116413848,NA,NA,-0.463148116413848
3,1,1,23,1,0,3,4,4,-1,1,1,-3,4,1,3,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
4,1,1,2,2,0,4,4,2,-1,1,1,-3,4,3,5,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
4,1,1,28,1,2,3,3,4,-1,1,1,-3,2,3,3,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
4,1,1,23,1,3,4,4,4,-1,2,2,-3,3,3,4,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
5,1,1,20,3,3,1,2,4,-1,1,1,-3,4,2,2,1,1,1,-1.51363835735582,-0.452252672667008,-0.658395278889745,-0.874762102970857
4,2,2,21,1,0,5,3,4,-1,1,1,-3,1,2,4,2,2,2,-0.463148116413848,2.21072948681807,1.21758519868391,0.988388856362711
4,NA,NA,-1,6,-1,1,-9,-1,-1,-1,2,-3,3,-1,3,2,NA,NA,-0.463148116413848,NA,NA,-0.463148116413848
3,1,1,4,2,0,1,2,4,-1,2,2,-3,5,1,4,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
4,1,1,21,2,4,1,2,4,-1,2,2,-3,5,2,2,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
4,1,1,11,3,4,2,4,2,-1,2,2,-3,3,2,2,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
4,1,2,22,3,4,4,99,3,-1,2,2,-3,4,2,4,2,1,2,-0.463148116413848,-0.452252672667008,1.21758519868391,0.100728136534351
2,1,2,21,1,4,3,5,4,-1,1,1,-3,2,3,2,4,1,2,1.63783236547009,-0.452252672667008,1.21758519868391,0.801054963828997
2,2,2,3,3,0,1,99,4,-1,2,2,-3,3,1,4,4,2,2,1.63783236547009,2.21072948681807,1.21758519868391,1.68871568365736
4,1,1,26,1,0,2,3,3,-1,1,1,-3,3,3,2,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
4,NA,NA,-1,1,-1,7,7,-1,-1,-1,1,-3,4,-1,4,2,NA,NA,-0.463148116413848,NA,NA,-0.463148116413848
2,2,2,27,1,0,2,2,2,-1,2,2,-3,2,1,2,4,2,2,1.63783236547009,2.21072948681807,1.21758519868391,1.68871568365736
2,NA,NA,-1,3,-1,1,4,-1,-1,-1,1,-3,2,-1,2,4,NA,NA,1.63783236547009,NA,NA,1.63783236547009
2,1,2,-9,1,0,1,2,2,-1,2,2,-3,3,1,3,4,1,2,1.63783236547009,-0.452252672667008,1.21758519868391,0.801054963828997
3,2,2,17,3,0,6,4,3,-1,2,2,-3,5,1,3,3,2,2,0.587342124528122,2.21072948681807,1.21758519868391,1.33855227001003
4,1,2,26,1,4,1,1,4,-1,1,1,-3,2,3,2,2,1,2,-0.463148116413848,-0.452252672667008,1.21758519868391,0.100728136534351
3,1,1,26,1,0,2,4,4,-1,2,2,-3,2,1,2,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
3,1,1,27,1,0,7,6,4,-1,1,1,-3,5,1,2,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
3,1,1,27,1,1,3,4,3,-1,1,1,-3,2,3,2,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
4,1,1,22,2,0,1,99,4,-1,2,2,-3,2,1,4,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
1,2,2,28,2,0,5,4,1,-1,1,1,-3,1,1,2,5,2,2,2.68832260641206,2.21072948681807,1.21758519868391,2.03887909730468
4,1,2,4,2,0,1,99,2,-1,2,2,-3,3,1,4,2,1,2,-0.463148116413848,-0.452252672667008,1.21758519868391,0.100728136534351
4,1,1,22,1,2,2,2,4,-1,1,1,-3,5,2,4,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
4,1,1,-9,1,4,1,2,4,-1,2,2,-3,2,2,3,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
4,1,1,22,2,0,1,3,4,-1,2,2,-3,3,1,3,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
3,1,1,21,3,4,1,2,1,-1,1,1,-3,1,1,2,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
2,2,2,27,2,4,1,2,4,-1,2,2,-3,2,2,2,4,2,2,1.63783236547009,2.21072948681807,1.21758519868391,1.68871568365736
3,1,1,20,1,0,1,2,4,-1,2,2,-3,3,1,2,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
3,NA,NA,-1,1,-1,4,5,-1,-1,-1,1,-3,3,-1,2,3,NA,NA,0.587342124528122,NA,NA,0.587342124528122
3,1,1,-9,1,0,4,5,4,-1,1,1,-3,4,2,2,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
2,1,2,12,1,0,1,4,4,-1,1,1,-3,3,1,2,4,1,2,1.63783236547009,-0.452252672667008,1.21758519868391,0.801054963828997
4,1,1,17,1,0,6,5,3,-1,1,1,-3,5,2,2,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
4,1,1,13,6,2,5,99,4,-1,1,1,-3,5,2,4,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
2,NA,NA,-1,1,-1,1,2,-1,-1,-1,2,-3,3,-1,2,4,NA,NA,1.63783236547009,NA,NA,1.63783236547009
5,1,1,2,1,0,7,6,4,-1,2,2,-3,5,2,3,1,1,1,-1.51363835735582,-0.452252672667008,-0.658395278889745,-0.874762102970857
3,1,1,15,1,2,2,3,3,-1,1,1,-3,4,2,4,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
2,1,2,20,1,0,3,3,3,-1,2,2,-3,3,2,4,4,1,2,1.63783236547009,-0.452252672667008,1.21758519868391,0.801054963828997
4,1,2,22,4,4,4,4,4,-1,1,1,-3,5,2,3,2,1,2,-0.463148116413848,-0.452252672667008,1.21758519868391,0.100728136534351
4,2,1,28,4,3,3,99,4,-1,2,2,-3,5,3,4,2,2,1,-0.463148116413848,2.21072948681807,-0.658395278889745,0.363062030504826
4,1,2,25,1,0,3,3,3,-1,2,2,-3,3,2,2,2,1,2,-0.463148116413848,-0.452252672667008,1.21758519868391,0.100728136534351
2,1,1,11,1,4,6,99,3,-1,1,1,-3,5,2,4,4,1,1,1.63783236547009,-0.452252672667008,-0.658395278889745,0.175728137971113
3,2,3,23,1,0,2,99,2,-1,2,2,-3,3,3,5,3,2,3,0.587342124528122,2.21072948681807,3.09356567625756,1.96387909586792
5,1,1,18,6,0,3,4,4,-1,2,2,-3,5,3,5,1,1,1,-1.51363835735582,-0.452252672667008,-0.658395278889745,-0.874762102970857
4,1,1,1,2,4,3,4,3,-1,3,2,-3,2,2,2,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
3,1,2,12,2,0,1,99,2,-1,1,1,-3,3,2,4,3,1,2,0.587342124528122,-0.452252672667008,1.21758519868391,0.450891550181674
3,1,1,21,3,1,4,4,3,-1,2,2,-3,3,3,2,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
4,1,2,25,1,0,1,2,4,-1,1,1,-3,2,2,2,2,1,2,-0.463148116413848,-0.452252672667008,1.21758519868391,0.100728136534351
5,1,1,11,3,1,3,1,4,-1,3,2,-3,5,2,4,1,1,1,-1.51363835735582,-0.452252672667008,-0.658395278889745,-0.874762102970857
3,2,2,21,1,4,3,2,2,-1,1,1,-3,2,2,2,3,2,2,0.587342124528122,2.21072948681807,1.21758519868391,1.33855227001003
3,2,2,3,2,4,1,6,1,-1,2,1,-3,3,2,3,3,2,2,0.587342124528122,2.21072948681807,1.21758519868391,1.33855227001003
5,NA,1,1,1,4,4,99,3,-1,1,1,-3,3,3,5,1,NA,1,-1.51363835735582,NA,-0.658395278889745,-1.08601681812278
5,1,1,13,1,4,4,99,3,-1,2,2,-3,4,3,5,1,1,1,-1.51363835735582,-0.452252672667008,-0.658395278889745,-0.874762102970857
4,1,1,13,1,0,5,4,4,-1,3,1,-3,5,2,2,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
4,2,2,28,1,0,3,4,4,-1,2,2,-3,2,2,2,2,2,2,-0.463148116413848,2.21072948681807,1.21758519868391,0.988388856362711
3,2,1,9,1,0,7,99,4,-1,1,1,-3,5,2,2,3,2,1,0.587342124528122,2.21072948681807,-0.658395278889745,0.71322544415215
4,NA,NA,-1,1,-1,5,4,-1,-1,-1,1,-3,2,-1,2,2,NA,NA,-0.463148116413848,NA,NA,-0.463148116413848
2,1,1,5,4,4,3,4,2,-1,2,2,-3,3,2,4,4,1,1,1.63783236547009,-0.452252672667008,-0.658395278889745,0.175728137971113
4,1,2,12,1,0,1,2,3,-1,2,2,-3,4,1,3,2,1,2,-0.463148116413848,-0.452252672667008,1.21758519868391,0.100728136534351
2,2,2,28,1,1,7,6,4,-1,1,1,-3,2,1,2,4,2,2,1.63783236547009,2.21072948681807,1.21758519868391,1.68871568365736
4,1,1,22,1,0,6,5,3,-1,2,2,-3,4,1,2,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
4,1,1,1,1,0,7,99,4,-1,2,2,-3,5,2,3,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
4,1,1,27,2,0,3,3,4,-1,1,1,-3,2,2,3,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
3,2,3,18,3,2,1,1,2,-1,1,1,-3,3,2,2,3,2,3,0.587342124528122,2.21072948681807,3.09356567625756,1.96387909586792
3,2,2,27,4,4,4,4,3,-1,1,1,-3,5,2,3,3,2,2,0.587342124528122,2.21072948681807,1.21758519868391,1.33855227001003
4,1,1,28,1,0,3,3,3,-1,1,1,-3,1,2,2,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
4,2,2,26,1,4,2,4,4,-1,1,1,-3,2,2,4,2,2,2,-0.463148116413848,2.21072948681807,1.21758519868391,0.988388856362711
4,2,2,28,1,3,2,3,1,-1,1,1,-3,1,1,2,2,2,2,-0.463148116413848,2.21072948681807,1.21758519868391,0.988388856362711
3,1,2,16,2,0,3,4,4,-1,1,1,-3,5,1,2,3,1,2,0.587342124528122,-0.452252672667008,1.21758519868391,0.450891550181674
3,1,1,20,4,4,4,99,2,-1,2,2,-3,3,2,3,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
4,1,1,26,1,1,2,3,3,-1,2,2,-3,1,3,4,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
3,1,2,24,1,0,4,4,3,-1,1,1,-3,5,3,4,3,1,2,0.587342124528122,-0.452252672667008,1.21758519868391,0.450891550181674
2,1,2,24,1,0,1,2,4,-1,1,1,-3,2,2,2,4,1,2,1.63783236547009,-0.452252672667008,1.21758519868391,0.801054963828997
5,1,2,27,1,0,6,5,2,-1,1,1,-3,5,1,4,1,1,2,-1.51363835735582,-0.452252672667008,1.21758519868391,-0.249435277112973
2,1,1,23,1,2,2,3,2,-1,2,2,-3,3,1,2,4,1,1,1.63783236547009,-0.452252672667008,-0.658395278889745,0.175728137971113
5,1,1,24,1,2,6,99,4,-1,1,1,-3,5,2,3,1,1,1,-1.51363835735582,-0.452252672667008,-0.658395278889745,-0.874762102970857
3,2,2,1,1,0,5,4,1,-1,1,1,-3,3,2,3,3,2,2,0.587342124528122,2.21072948681807,1.21758519868391,1.33855227001003
5,1,1,20,1,0,6,4,4,-1,1,1,-3,3,3,5,1,1,1,-1.51363835735582,-0.452252672667008,-0.658395278889745,-0.874762102970857
3,1,1,25,1,0,2,4,3,-1,2,2,-3,2,2,2,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
2,2,2,20,1,1,2,2,4,-1,2,2,-3,3,1,2,4,2,2,1.63783236547009,2.21072948681807,1.21758519868391,1.68871568365736
3,NA,NA,-1,1,-1,5,6,-1,-1,-1,1,-3,5,-1,3,3,NA,NA,0.587342124528122,NA,NA,0.587342124528122
3,1,2,20,1,0,7,6,3,-1,1,1,-3,5,2,2,3,1,2,0.587342124528122,-0.452252672667008,1.21758519868391,0.450891550181674
4,1,1,12,2,0,1,4,4,-1,2,2,-3,4,1,4,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
3,1,2,28,1,0,1,4,4,-1,2,2,-3,2,2,4,3,1,2,0.587342124528122,-0.452252672667008,1.21758519868391,0.450891550181674
4,1,2,1,1,4,3,6,3,-1,1,1,-3,-2,3,4,2,1,2,-0.463148116413848,-0.452252672667008,1.21758519868391,0.100728136534351
4,1,1,7,1,0,3,6,4,-1,2,2,-3,5,1,4,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
3,1,1,15,1,1,7,6,3,-1,2,2,-3,4,2,4,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
2,2,1,1,2,0,3,99,1,-1,2,2,-3,3,2,1,4,2,1,1.63783236547009,2.21072948681807,-0.658395278889745,1.06338885779947
1,1,1,20,1,0,7,7,4,-1,2,2,-3,5,1,5,5,1,1,2.68832260641206,-0.452252672667008,-0.658395278889745,0.525891551618436
4,1,1,11,1,0,4,99,3,-1,2,2,-3,4,3,3,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
5,1,3,17,3,4,5,5,4,-1,1,1,-3,4,3,5,1,1,3,-1.51363835735582,-0.452252672667008,3.09356567625756,0.375891548744911
4,NA,NA,-1,1,-1,4,-9,-1,-1,-1,2,-3,5,-1,4,2,NA,NA,-0.463148116413848,NA,NA,-0.463148116413848
5,1,1,16,2,0,2,4,3,-1,1,1,-3,3,3,2,1,1,1,-1.51363835735582,-0.452252672667008,-0.658395278889745,-0.874762102970857
2,2,2,23,1,0,2,2,3,-1,1,1,-3,3,1,2,4,2,2,1.63783236547009,2.21072948681807,1.21758519868391,1.68871568365736
2,1,1,7,2,0,1,99,4,-1,2,2,-3,4,1,2,4,1,1,1.63783236547009,-0.452252672667008,-0.658395278889745,0.175728137971113
4,1,2,28,3,0,1,99,4,-1,2,2,-3,1,1,3,2,1,2,-0.463148116413848,-0.452252672667008,1.21758519868391,0.100728136534351
